id,title,title_display,parent_id,change notes,weight,encyc_links,description,created,modified
1,Immigration and citizenship [1],Immigration and citizenship,0,,,,"Japanese immigrants began arriving in the United States at the end of the nineteenth century when workers were recruited to meet the growing need for low-wage laborers in the Territory of Hawaii and on the West Coast. Commodore Perry had opened Japan to American commerce and trade relations in 1853, but anti-Asian sentiment resulted in the Gentlemen's Agreement of 1907, which halted the immigration of workers from Japan. In 1910, the Japanese population was about 80,000 in Hawaii and 72,000 on the continental United States. Japanese women continued to enter the country until the 1924 Immigration Act cut off immigration from Japan to the United States. Most of the early Japanese immigrants, the Issei (first generation), came as contract agricultural laborers, although many others were students and merchants. While Japanese immigrants were prohibited by discriminatory laws from becoming naturalized citizens of the United States, their American-born children (nisei) held U.S. citizenship.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
2,Life in Japan and reasons for leaving [2],Life in Japan and reasons for leaving,1,,,,"Most of the Issei (first-generation) immigrants belonged to the peasant farming class that had been hurt by industrialization, inflation, and rising taxes caused by the Meiji government's modernization program. The majority of the immigrant workers came from the four prefectures of Hiroshima, Yamaguchi, Kumamoto, and Fukuoka. The country was hard hit by depression following the Russo-Japanese war, which ended in 1905. Hoping for better economic opportunity than was available in the rigid society of Japan -- then just emerging from the feudal era -- ambitious men, especially younger sons who would not inherit property, traveled to the new country with the dream of making their fortune. Pioneer Issei women -- the first Japanese women to receive public education under Meiji reforms -- joined them as brides, many seeking to avoid living under the authority of their marital families.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
3,The Journey [3],The Journey,1,,,,"The Issei (first-generation Japanese immigrants) crossed the Pacific in crowded steamships for the two-week journey to the West Coast of the United States. Thousands of immigrants left Japan from Yokohama Harbor outside Tokyo and entered the U.S. at Angel Island, the immigration station in San Francisco Bay. The immigrants were examined and inoculated for communicable diseases upon boarding and examined again upon arrival. Because it took time to obtain a visa and the necessary health clearances, the journey from one's hometown in Japan could extend up to a month.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
4,Arrival [4],Arrival,1,,,,"Labor contractors transported workers from Japan to work on Hawaiian sugar plantations. Many Japanese then emigrated to the mainland and worked for lumber companies, railroads, and canneries. In the early 1900s these immigrants began to establish families through the picture bride system (shashin-kekkon, literally ""photograph marriage""). Immigrant bachelors sent photographs and information about themselves to go-betweens (baishakunin) who arranged meetings with the families in Japan. Marriage ceremonies took place in Japan (without bridegrooms), then the new brides traveled to the United States to join their husbands. Many arrived to discover that their husbands had misrepresented their appearances or situations.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
5,Industry and employment [5],Industry and employment,0,,,,"At the turn of the century, Japanese immigrants (Issei) came to the United States to work on the rapidly expanding plantations of Hawaii and the farms, lumber mills, railroads and canneries of the Pacific Coast. They quickly realized this type of work was not going to bring them wealth, and many began looking for more promising opportunities. Farming, fishing and small businesses were often seen as the answer.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
6,Agriculture [6],Agriculture,5,,,,"Many Issei (first-generation Japanese immigrants) began as sharecroppers. Others sought to buy land, but the Issei had to overcome obstacles preventing them from competing with white farmers. California and other states passed alien land laws prohibiting Asian immigrants from purchasing or leasing agricultural land. There were ways around the discriminatory laws: an Issei father could put the property in the name of his American-born child, or issei could form corporations in which a majority of the shareholders were American citizens. Despite the alien land laws, Issei farmers played a significant role in West Coast agriculture. In the years just prior to World War II, Japanese American families grew 35 percent of the produce in California. By the 1920s, Japanese Americans supplied 75 percent of the produce and half the milk to the Puget Sound region.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
7,Farmers' markets and stands [7],Farmers' markets and stands,6,,,,"Farming cooperatives allowed growers to purchase equipment and supplies at lower cost as well as market their products more effectively. A Japanese grower could place his produce on consignment with a Japanese packer-shipper who would sell the produce to a Japanese fruit-stand operator. In areas where the Japanese were successful in agriculture, a burgeoning community of flower and produce vendors sprang up in the local marketplace. The farmers market in Seattle and other West Coast cities were heavily populated by Japanese Americans before World War II.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
8,Small business [8],Small business,5,,,,"Japanese American businesses, such as groceries, fish shops, laundries, barbershops, public bathhouses, restaurants, drugstores, and dry goods stores, sprang up in communities along the West Coast. Women and children were vitally important to these ""mom and pop"" enterprises, as their free labor allowed the family to survive and even prosper during lean times.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
9,Timber [9],Timber,5,,,,"Japanese immigrants (Issei) replaced Chinese workers after the 1882 Chinese Exclusion Act went into effect. Laborers were recruited by contracting companies to cut timber and work in sawmills. In rare instances, Issei women joined their husbands, living among the other workers in segregated shantytowns.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
10,Fishing and canneries [10],Fishing and canneries,5,,,,"Japanese Americans found work at salmon canneries along the Columbia River in Oregon and Washington, and their labor was welcomed in Alaskan towns such as Ketchikan and Petersburg as early as the 1890s. They traveled by ship to the cannery towns, where they slowly developed small communities whose population swelled with the yearly arrival of workers. Issei (Japanese immigrant) entrepreneurs started the oyster industry from scratch in Puget Sound. Japanese American oyster farms became thriving businesses before World War II.",2014-02-18T17:06:20-0800,2014-02-18T17:06:20-0800
